epoch,train_loss,val_loss
1,1.4237207321410483,1.3861355781555176
2,1.3569963500854816,1.3252074718475342
3,1.2962942062540257,1.2668297290802002
4,1.241514295212766,1.2261056900024414
5,1.207884591183764,1.2083134651184082
6,1.1995887629529263,1.2026287317276
7,1.1902341847724103,1.1939692497253418
8,1.1835840894820842,1.1872423887252808
9,1.176780732641829,1.1815043687820435
10,1.1711485994623063,1.1761528253555298
11,1.1647045683353505,1.1701797246932983
12,1.1564732176192263,1.1635123491287231
13,1.1493153161190925,1.1562376022338867
14,1.140286622148879,1.1483632326126099
15,1.1303976647397305,1.139235258102417
16,1.1171896133017032,1.1282920837402344
17,1.1052637379220192,1.114446997642517
18,1.090016120038134,1.1014013290405273
19,1.0762234479823012,1.0835856199264526
20,1.0551453029855768,1.0635226964950562
21,1.0355957442141595,1.0420867204666138
22,1.0115176490012636,1.0218180418014526
23,0.9869999576122203,0.9934220910072327
24,0.9586315657230133,0.9674899578094482
25,0.9312566277828622,0.9399760365486145
26,0.9042141244766561,0.9147619009017944
27,0.8836171492617181,0.8892257809638977
28,0.8497380561016975,0.8592573404312134
29,0.8242020254439496,0.8328784108161926
30,0.7959941250212649,0.8107901215553284
31,0.7697991523336857,0.7859495282173157
32,0.7444092053048155,0.7654958963394165
33,0.7185825256591147,0.7338845729827881
34,0.6918266953305995,0.7054457068443298
35,0.6657005145194682,0.6796528697013855
36,0.6396583039709862,0.6506118774414062
37,0.6159985113651194,0.6215113401412964
38,0.5895924882685885,0.5950053334236145
39,0.5623557178263968,0.566753089427948
40,0.5373252377865162,0.543550968170166
41,0.5179514674430198,0.5148146152496338
42,0.4881045160141397,0.48446816205978394
43,0.46109911723339814,0.4643515646457672
44,0.43543830869045663,0.43699225783348083
45,0.4125641191259344,0.4117951989173889
46,0.38717485133637775,0.3845937252044678
47,0.36598522143161044,0.36488255858421326
48,0.34245157279866806,0.3411540985107422
49,0.3231295458813931,0.32365548610687256
50,0.30273667244201014,0.3048360049724579
51,0.2851745532548174,0.28820669651031494
52,0.26551559668906194,0.26572489738464355
53,0.24749190122523207,0.2502172291278839
54,0.2313581995507504,0.23055535554885864
55,0.22109713890451066,0.22107288241386414
56,0.2077350141520196,0.20456373691558838
57,0.19241987815562714,0.1935536414384842
58,0.17805545311024848,0.1784185767173767
59,0.1675487446024063,0.16907073557376862
60,0.1579325443886696,0.1571933925151825
61,0.14725822086663956,0.14831611514091492
62,0.13742295215104489,0.1382235735654831
63,0.12702337370273914,0.13010722398757935
64,0.11996349032889021,0.12175384163856506
65,0.11186125436995892,0.11244947463274002
66,0.10504536457518314,0.10638239979743958
67,0.09833191731508742,0.10024510324001312
68,0.0921123427279452,0.09448307752609253
69,0.08621377126967654,0.08875108510255814
70,0.08188634581388311,0.08371391147375107
71,0.07651804558774258,0.07923766225576401
72,0.07193328357757406,0.07436995208263397
73,0.06808683200085416,0.06999899446964264
74,0.06398077565938869,0.0657644048333168
75,0.060476153930451006,0.062371838837862015
76,0.05753808921956002,0.059096336364746094
77,0.054614793255608134,0.055692218244075775
78,0.051518081556609335,0.05464114993810654
79,0.048480797844364286,0.05027598515152931
80,0.04604857720910235,0.04933243617415428
81,0.04443870725783896,0.04556116461753845
82,0.041835774972717815,0.04425720125436783
83,0.03978115594450464,0.042011555284261703
84,0.038047760297009285,0.03978847712278366
85,0.036180521278305254,0.03748438507318497
86,0.034537722947115594,0.036880042403936386
87,0.03313797102012533,0.035075586289167404
88,0.03150023158560408,0.033826008439064026
89,0.030148684716922173,0.03202318772673607
90,0.028901955414008588,0.030707264319062233
91,0.02771633229357131,0.029568491503596306
92,0.026607316764111214,0.028515128418803215
93,0.025965481092955205,0.028030453249812126
94,0.024576326657799963,0.026474060490727425
95,0.023646308481693266,0.025418901816010475
96,0.0228461272301192,0.02478792704641819
97,0.022072939439973932,0.023372897878289223
98,0.020966045439560363,0.023400690406560898
99,0.020264527407732415,0.021966971457004547
100,0.019835735358139303,0.021236443892121315
